nom_bacia;ena_data;ena_bruta_bacia_mwmed;ena_bruta_bacia_percentualmlt;ena_armazenavel_bacia_mwmed;ena_armazenavel_bacia_percentualmlt
AMAZONAS;2025-01-01;11780.987;67.2079;8255.38;47.0951
ARAGUARI;2025-01-01;144.18;54.8486;144.18;54.8486
CAPIVARI;2025-01-01;113.677;71.5602;113.677;71.5602
DOCE;2025-01-01;1877.364;109.5818;1047.154;61.1224
GRANDE;2025-01-01;10481.318;114.9843;10439.085;114.521
IGUACU;2025-01-01;5129.603;135.1271;5019.907;132.2375
ITABAPOANA;2025-01-01;157.637;152.8849;90.025;87.3111
ITAJAI;2025-01-01;103.341;51.386;103.341;51.386
JACUI;2025-01-01;618.008;114.0163;531.061;97.9755
JEQUITINHONHA;2025-01-01;907.757;87.5708;897.747;86.6052
MUCURI;2025-01-01;18.389;24.6445;18.389;24.6445
PARAGUACU;2025-01-01;2.314;1.5845;2.314;1.5845
PARAGUAI;2025-01-01;541.307;86.1962;476.079;75.8094
PARAIBA DO SUL;2025-01-01;1748.044;104.3949;1489.308;88.9429
PARANA;2025-01-01;19853.752;88.7675;19851.909;88.7592
PARANAIBA;2025-01-01;11437.545;128.0487;11154.649;124.8815
PARANAPANEMA;2025-01-01;1723.026;72.2862;1649.361;69.1957
PARNAIBA;2025-01-01;158.262;65.5549;158.262;65.5549
SANTA MARIA VIT;2025-01-01;22.949;54.2992;22.949;54.2992
SAO FRANCISCO;2025-01-01;6781.959;50.5975;6715.039;50.0982
TIETE;2025-01-01;2752.642;148.2223;1738.144;93.5943
TOCANTINS;2025-01-01;9544.523;67.5388;9366.812;66.2812
URUGUAI;2025-01-01;1801.086;71.5247;1663.144;66.0468
AMAZONAS;2025-01-02;11988.594;68.3923;11391.977;64.9887
ARAGUARI;2025-01-02;156.506;59.5377;156.506;59.5377
CAPIVARI;2025-01-02;112.66;70.92;112.66;70.92
DOCE;2025-01-02;1931.891;112.7646;1426.346;83.2559
GRANDE;2025-01-02;10820.783;118.7084;10803.393;118.5176
IGUACU;2025-01-02;4552.002;119.9116;4468.853;117.7213
ITABAPOANA;2025-01-02;125.86;122.0658;63.319;61.4102
ITAJAI;2025-01-02;133.013;66.1403;133.013;66.1403
JACUI;2025-01-02;819.79;151.2431;566.046;104.4299
JEQUITINHONHA;2025-01-02;854.297;82.4136;843.572;81.379
MUCURI;2025-01-02;18.726;25.0962;18.726;25.0962
PARAGUACU;2025-01-02;2.276;1.5585;2.276;1.5585
PARAGUAI;2025-01-02;538.66;85.7747;501.782;79.9023
PARAIBA DO SUL;2025-01-02;1807.429;107.9414;1604.107;95.7988
PARANA;2025-01-02;20707.21;92.5833;20705.367;92.5751
PARANAIBA;2025-01-02;12109.945;135.5765;11816.672;132.2932
PARANAPANEMA;2025-01-02;1744.071;73.1691;1691.601;70.9678
PARNAIBA;2025-01-02;154.637;64.0533;154.637;64.0533
SANTA MARIA VIT;2025-01-02;25.739;60.9005;25.739;60.9005
SAO FRANCISCO;2025-01-02;6311.545;47.0879;6271.727;46.7909
TIETE;2025-01-02;2566.961;138.2239;2173.724;117.0491
TOCANTINS;2025-01-02;9631.551;68.1546;9418.652;66.6481
URUGUAI;2025-01-02;2213.349;87.8965;2039.054;80.9749
AMAZONAS;2025-01-03;12288.453;70.1029;11824.858;67.4582
ARAGUARI;2025-01-03;170.366;64.8103;170.366;64.8103
CAPIVARI;2025-01-03;95.122;59.8798;95.122;59.8798
DOCE;2025-01-03;1968.938;114.927;1393.585;81.3436
GRANDE;2025-01-03;11031.421;121.0192;10997.818;120.6506
IGUACU;2025-01-03;4136.289;108.9607;3975.719;104.7308
ITABAPOANA;2025-01-03;102.314;99.2296;60.056;58.2456
ITAJAI;2025-01-03;148.043;73.6139;148.043;73.6139
JACUI;2025-01-03;910.73;168.0206;460.728;84.9997
JEQUITINHONHA;2025-01-03;866.749;83.6148;856.739;82.6492
MUCURI;2025-01-03;18.403;24.6633;18.403;24.6633
PARAGUACU;2025-01-03;2.295;1.5715;2.295;1.5715
PARAGUAI;2025-01-03;543.638;86.5673;514.9;81.9912
PARAIBA DO SUL;2025-01-03;1786.166;106.6716;1502.421;89.726
PARANA;2025-01-03;21475.872;96.0201;21474.029;96.0118
PARANAIBA;2025-01-03;12830.392;143.6423;12538.809;140.3779
PARANAPANEMA;2025-01-03;1745.909;73.2462;1734.366;72.7619
PARNAIBA;2025-01-03;154.501;63.997;154.501;63.997
SANTA MARIA VIT;2025-01-03;22.421;53.0499;22.421;53.0499
SAO FRANCISCO;2025-01-03;7346.995;54.813;7330.265;54.6882
TIETE;2025-01-03;2365.274;127.3636;2183.15;117.5567
TOCANTINS;2025-01-03;9650.605;68.2894;9590.405;67.8634
URUGUAI;2025-01-03;2684.594;106.6106;2609.01;103.609
AMAZONAS;2025-01-04;12206.59;69.6359;11522.236;65.7318
ARAGUARI;2025-01-04;172.168;65.4958;172.168;65.4958
CAPIVARI;2025-01-04;84.13;52.9602;84.13;52.9602
DOCE;2025-01-04;1970.083;114.9938;1384.445;80.8101
GRANDE;2025-01-04;11021.611;120.9116;10973.699;120.386
IGUACU;2025-01-04;3803.801;100.2021;3745.002;98.6531
ITABAPOANA;2025-01-04;80.272;77.8521;59.989;58.1806
ITAJAI;2025-01-04;117.436;58.3947;117.436;58.3947
JACUI;2025-01-04;677.578;125.0064;444.195;81.9496
JEQUITINHONHA;2025-01-04;823.307;79.424;798.282;77.0098
MUCURI;2025-01-04;16.888;22.6329;16.888;22.6329
PARAGUACU;2025-01-04;2.067;1.4154;2.067;1.4154
PARAGUAI;2025-01-04;562.395;89.5541;533.657;84.978
PARAIBA DO SUL;2025-01-04;1702.703;101.6871;1459.417;87.1578
PARANA;2025-01-04;22111.2;98.8607;22109.358;98.8524
PARANAIBA;2025-01-04;13011.427;145.6691;12725.48;142.4677
PARANAPANEMA;2025-01-04;1698.251;71.2468;1698.251;71.2468
PARNAIBA;2025-01-04;156.533;64.8387;156.533;64.8387
SANTA MARIA VIT;2025-01-04;21.618;51.1499;21.618;51.1499
SAO FRANCISCO;2025-01-04;7712.6;57.5407;7686.167;57.3434
TIETE;2025-01-04;2015.564;108.5327;1775.089;95.5837
TOCANTINS;2025-01-04;9780.723;69.2102;9764.054;69.0922
URUGUAI;2025-01-04;2446.976;97.1743;2370.549;94.1392
AMAZONAS;2025-01-05;12285.962;70.0887;10828.66;61.7751
ARAGUARI;2025-01-05;162.37;61.7684;162.37;61.7684
CAPIVARI;2025-01-05;86.481;54.4402;86.481;54.4402
DOCE;2025-01-05;1904.9;111.1891;1259.203;73.4997
GRANDE;2025-01-05;10923.138;119.8313;10923.138;119.8313
IGUACU;2025-01-05;3579.505;94.2935;3512.678;92.5331
ITABAPOANA;2025-01-05;142.053;137.7707;49.086;47.6063
ITAJAI;2025-01-05;88.699;44.1053;88.699;44.1053
JACUI;2025-01-05;507.076;93.5505;407.237;75.1312
JEQUITINHONHA;2025-01-05;867.566;83.6936;840.396;81.0726
MUCURI;2025-01-05;18.38;24.6325;18.38;24.6325
PARAGUACU;2025-01-05;1.802;1.2339;1.802;1.2339
PARAGUAI;2025-01-05;563.312;89.7002;534.574;85.124
PARAIBA DO SUL;2025-01-05;1620.856;96.7991;1466.257;87.5663
PARANA;2025-01-05;22686.701;101.4338;22684.859;101.4255
PARANAIBA;2025-01-05;12998.816;145.5279;12740.59;142.6369
PARANAPANEMA;2025-01-05;1603.133;67.2563;1603.133;67.2563
PARNAIBA;2025-01-05;161.149;66.7507;161.149;66.7507
SANTA MARIA VIT;2025-01-05;49.322;116.6998;45.096;106.7007
SAO FRANCISCO;2025-01-05;8222.314;61.3434;8184.504;61.0613
TIETE;2025-01-05;1761.139;94.8326;1573.104;84.7074
TOCANTINS;2025-01-05;9831.849;69.5719;9809.272;69.4122
URUGUAI;2025-01-05;2025.63;80.4418;1939.487;77.0209
AMAZONAS;2025-01-06;12523.362;71.443;12220.739;69.7166
ARAGUARI;2025-01-06;158.633;60.3468;158.492;60.2932
CAPIVARI;2025-01-06;99.062;62.36;99.062;62.36
DOCE;2025-01-06;1862.618;108.7211;1375.613;80.2946
GRANDE;2025-01-06;10582.143;116.0904;10580.368;116.071
IGUACU;2025-01-06;3396.908;89.4834;3396.908;89.4834
ITABAPOANA;2025-01-06;180.676;175.2293;47.142;45.7209
ITAJAI;2025-01-06;74.463;37.0265;74.463;37.0265
JACUI;2025-01-06;440.007;81.1769;365.809;67.4881
JEQUITINHONHA;2025-01-06;985.899;95.1092;963.734;92.9709
MUCURI;2025-01-06;24.48;32.8075;24.48;32.8075
PARAGUACU;2025-01-06;1.536;1.0518;1.536;1.0518
PARAGUAI;2025-01-06;561.197;89.3634;531.236;84.5925
PARAIBA DO SUL;2025-01-06;1533.647;91.5909;1369.004;81.7582
PARANA;2025-01-06;23221.714;103.8258;23219.871;103.8176
PARANAIBA;2025-01-06;13096.137;146.6174;12886.547;144.271
PARANAPANEMA;2025-01-06;1472.957;61.795;1472.957;61.795
PARNAIBA;2025-01-06;163.249;67.6206;163.249;67.6206
SANTA MARIA VIT;2025-01-06;59.719;141.2999;51.266;121.2995
SAO FRANCISCO;2025-01-06;8764.296;65.3869;8722.471;65.0749
TIETE;2025-01-06;1498.967;80.7153;1401.433;75.4634
TOCANTINS;2025-01-06;10049.014;71.1086;10024.116;70.9324
URUGUAI;2025-01-06;1668.047;66.2415;1601.401;63.5948
AMAZONAS;2025-01-07;12903.127;73.6095;12664.292;72.247
ARAGUARI;2025-01-07;179.195;68.169;174.348;66.3251
CAPIVARI;2025-01-07;111.961;70.48;111.961;70.48
DOCE;2025-01-07;1905.422;111.2196;1315.899;76.8091
GRANDE;2025-01-07;9989.973;109.5941;9989.973;109.5941
IGUACU;2025-01-07;3250.069;85.6153;3250.069;85.6153
ITABAPOANA;2025-01-07;158.466;153.6889;55.357;53.6882
ITAJAI;2025-01-07;74.127;36.8594;74.127;36.8594
JACUI;2025-01-07;357.944;66.0371;304.675;56.2095
JEQUITINHONHA;2025-01-07;1029.123;99.279;1011.248;97.5546
MUCURI;2025-01-07;23.028;30.8616;23.028;30.8616
PARAGUACU;2025-01-07;1.498;1.0258;1.498;1.0258
PARAGUAI;2025-01-07;578.897;92.1819;550.159;87.6057
PARAIBA DO SUL;2025-01-07;1433.872;85.6322;1315.237;78.5472
PARANA;2025-01-07;23680.28;105.8761;23678.437;105.8679
PARANAIBA;2025-01-07;12741.505;142.6471;12538.208;140.3711
PARANAPANEMA;2025-01-07;1366.143;57.3138;1364.211;57.2328
PARNAIBA;2025-01-07;170.394;70.5801;170.394;70.5801
SANTA MARIA VIT;2025-01-07;67.517;159.7506;44.272;104.7511
SAO FRANCISCO;2025-01-07;9290.988;69.3164;9261.878;69.0992
TIETE;2025-01-07;1418.442;76.3793;1391.625;74.9352
TOCANTINS;2025-01-07;10267.618;72.6555;10233.322;72.4128
URUGUAI;2025-01-07;1423.266;56.5207;1359.323;53.9814
AMAZONAS;2025-01-08;13442.165;76.6846;13103.25;74.7512
ARAGUARI;2025-01-08;228.451;86.9068;201.026;76.4739
CAPIVARI;2025-01-08;113.041;71.1599;113.041;71.1599
DOCE;2025-01-08;2111.784;123.2649;1339.815;78.2051
GRANDE;2025-01-08;9237.249;101.3364;9237.249;101.3364
IGUACU;2025-01-08;3067.536;80.8069;3067.536;80.8069
ITABAPOANA;2025-01-08;174.608;169.3443;49.526;48.033
ITAJAI;2025-01-08;73.404;36.4999;73.404;36.4999
JACUI;2025-01-08;334.624;61.7348;281.645;51.9607
JEQUITINHONHA;2025-01-08;1039.613;100.2909;1028.173;99.1873
MUCURI;2025-01-08;43.044;57.6866;43.044;57.6866
PARAGUACU;2025-01-08;1.982;1.3572;1.982;1.3572
PARAGUAI;2025-01-08;589.938;93.94;561.2;89.3639
PARAIBA DO SUL;2025-01-08;1404.042;83.8508;1336.533;79.8191
PARANA;2025-01-08;23995.255;107.2844;23993.412;107.2762
PARANAIBA;2025-01-08;12634.625;141.4506;12317.057;137.8953
PARANAPANEMA;2025-01-08;1305.71;54.7785;1275.077;53.4933
PARNAIBA;2025-01-08;182.302;75.5126;182.302;75.5126
SANTA MARIA VIT;2025-01-08;62.72;148.4005;33.135;78.4001
SAO FRANCISCO;2025-01-08;9867.259;73.6157;9843.837;73.441
TIETE;2025-01-08;1333.107;71.7842;1306.289;70.3401
TOCANTINS;2025-01-08;10629.993;75.2197;10602.985;75.0286
URUGUAI;2025-01-08;1254.391;49.8144;1182.295;46.9513
AMAZONAS;2025-01-09;14056.929;80.1917;13593.391;77.5473
ARAGUARI;2025-01-09;270.127;102.7611;213.584;81.2511
CAPIVARI;2025-01-09;108.339;68.1999;108.339;68.1999
DOCE;2025-01-09;2182.44;127.3891;1304.55;76.1466
GRANDE;2025-01-09;8461.696;92.8283;8461.696;92.8283
IGUACU;2025-01-09;2908.193;76.6094;2908.193;76.6094
ITABAPOANA;2025-01-09;231.436;224.4591;28.6;27.7378
ITAJAI;2025-01-09;88.17;43.8422;88.17;43.8422
JACUI;2025-01-09;314.156;57.9587;257.822;47.5656
JEQUITINHONHA;2025-01-09;1087.11;104.8729;1064.945;102.7347
MUCURI;2025-01-09;60.66;81.2951;60.66;81.2951
PARAGUACU;2025-01-09;4.438;3.0389;4.438;3.0389
PARAGUAI;2025-01-09;609.004;96.976;579.498;92.2776
PARAIBA DO SUL;2025-01-09;1427.019;85.223;1355.278;80.9385
PARANA;2025-01-09;24158.374;108.0137;24156.531;108.0055
PARANAIBA;2025-01-09;12625.775;141.3515;12434.801;139.2135
PARANAPANEMA;2025-01-09;1255.608;52.6766;1255.608;52.6766
PARNAIBA;2025-01-09;192.25;79.6333;192.25;79.6333
SANTA MARIA VIT;2025-01-09;292.636;692.4002;123.58;292.4002
SAO FRANCISCO;2025-01-09;10427.198;77.7932;10396.749;77.566
TIETE;2025-01-09;1268.04;68.2805;1241.755;66.8651
TOCANTINS;2025-01-09;12039.892;85.1964;11978.731;84.7637
URUGUAI;2025-01-09;1238.535;49.1847;1161.085;46.109
AMAZONAS;2025-01-10;14760.128;84.2033;13680.644;78.0451
ARAGUARI;2025-01-10;338.036;128.5949;270.006;102.7151
CAPIVARI;2025-01-10;103.256;65.0002;103.256;65.0002
DOCE;2025-01-10;2318.109;135.3081;1361.848;79.4911
GRANDE;2025-01-10;7799.312;85.5616;7799.312;85.5616
IGUACU;2025-01-10;2778.867;73.2026;2778.867;73.2026
ITABAPOANA;2025-01-10;273.389;265.1474;29.986;29.082
ITAJAI;2025-01-10;86.811;43.1665;86.811;43.1665
JACUI;2025-01-10;288.585;53.2411;239.21;44.1319
JEQUITINHONHA;2025-01-10;1159.875;111.8925;1159.875;111.8925
MUCURI;2025-01-10;80.33;107.6564;78.532;105.2468
PARAGUACU;2025-01-10;10.593;7.2536;10.593;7.2536
PARAGUAI;2025-01-10;641.264;102.113;610.989;97.2921
PARAIBA DO SUL;2025-01-10;1492.535;89.1356;1405.251;83.923
PARANA;2025-01-10;24076.882;107.6494;24075.039;107.6411
PARANAIBA;2025-01-10;12454.579;139.4349;12170.873;136.2587
PARANAPANEMA;2025-01-10;1198.343;50.2741;1198.343;50.2741
PARNAIBA;2025-01-10;200.071;82.8729;200.071;82.8729
SANTA MARIA VIT;2025-01-10;224.316;530.7496;110.203;260.7491
SAO FRANCISCO;2025-01-10;10915.921;81.4394;10866.066;81.0674
TIETE;2025-01-10;1216.752;65.5188;1191.0;64.1321
TOCANTINS;2025-01-10;13013.839;92.0883;12774.118;90.392
URUGUAI;2025-01-10;1164.661;46.251;1053.348;41.8306
AMAZONAS;2025-01-11;15592.291;88.9506;14023.431;80.0006
ARAGUARI;2025-01-11;389.711;148.253;290.481;110.5041
CAPIVARI;2025-01-11;103.319;65.0398;103.319;65.0398
DOCE;2025-01-11;2475.276;144.482;1519.082;88.6689
GRANDE;2025-01-11;7287.577;79.9477;7287.577;79.9477
IGUACU;2025-01-11;2675.359;70.4759;2675.359;70.4759
ITABAPOANA;2025-01-11;257.602;249.8363;44.624;43.2788
ITAJAI;2025-01-11;78.82;39.193;78.82;39.193
JACUI;2025-01-11;296.01;54.6109;231.375;42.6864
JEQUITINHONHA;2025-01-11;1443.808;139.2834;1387.323;133.8343
MUCURI;2025-01-11;139.646;187.1504;61.433;82.3311
PARAGUACU;2025-01-11;19.99;13.6882;19.99;13.6882
PARAGUAI;2025-01-11;657.982;104.7751;625.402;99.5872
PARAIBA DO SUL;2025-01-11;1390.79;83.0593;1332.837;79.5983
PARANA;2025-01-11;23708.12;106.0006;23706.277;105.9924
PARANAIBA;2025-01-11;11936.981;133.6401;11479.845;128.5223
PARANAPANEMA;2025-01-11;1135.6;47.6419;1135.6;47.6419
PARNAIBA;2025-01-11;266.382;110.34;266.382;110.34
SANTA MARIA VIT;2025-01-11;167.239;395.7008;38.333;90.6989
SAO FRANCISCO;2025-01-11;11690.966;87.2217;11594.935;86.5052
TIETE;2025-01-11;1138.71;61.3164;1112.958;59.9298
TOCANTINS;2025-01-11;13925.522;98.5395;13400.47;94.8241
URUGUAI;2025-01-11;1199.31;47.627;1100.702;43.7111
AMAZONAS;2025-01-12;16709.767;95.3255;14415.034;82.2346
ARAGUARI;2025-01-12;402.176;152.9949;323.375;123.0176
CAPIVARI;2025-01-12;107.005;67.3602;107.005;67.3602
DOCE;2025-01-12;2405.941;140.4349;1393.853;81.3593
GRANDE;2025-01-12;6858.555;75.2412;6858.555;75.2412
IGUACU;2025-01-12;2681.54;70.6388;2681.54;70.6388
ITABAPOANA;2025-01-12;216.544;210.0161;54.276;52.6398
ITAJAI;2025-01-12;73.969;36.7808;73.969;36.7808
JACUI;2025-01-12;328.752;60.6515;287.482;53.0376
JEQUITINHONHA;2025-01-12;1546.137;149.155;1131.437;109.1491
MUCURI;2025-01-12;155.842;208.8559;65.492;87.7709
PARAGUACU;2025-01-12;48.828;33.4351;48.828;33.4351
PARAGUAI;2025-01-12;653.634;104.0828;620.285;98.7724
PARAIBA DO SUL;2025-01-12;1279.979;76.4416;1207.969;72.1411
PARANA;2025-01-12;23130.851;103.4196;23129.008;103.4113
PARANAIBA;2025-01-12;11284.097;126.3308;10926.666;122.3292
PARANAPANEMA;2025-01-12;1083.765;45.4672;1083.765;45.4672
PARNAIBA;2025-01-12;301.055;124.7022;301.055;124.7022
SANTA MARIA VIT;2025-01-12;102.11;241.6004;19.695;46.5999
SAO FRANCISCO;2025-01-12;12562.432;93.7233;12464.728;92.9944
TIETE;2025-01-12;1043.554;56.1926;1017.802;54.8059
TOCANTINS;2025-01-12;14345.809;101.5135;13791.727;97.5927
URUGUAI;2025-01-12;1240.268;49.2535;1140.531;45.2928
AMAZONAS;2025-01-13;17608.223;100.451;16475.477;93.989
ARAGUARI;2025-01-13;381.154;144.9978;322.099;122.5322
CAPIVARI;2025-01-13;114.503;72.0802;114.503;72.0802
DOCE;2025-01-13;2493.651;145.5545;1414.658;82.5737
GRANDE;2025-01-13;6476.145;71.046;6476.145;71.046
IGUACU;2025-01-13;2657.401;70.0029;2657.401;70.0029
ITABAPOANA;2025-01-13;176.45;171.1307;64.891;62.9348
ITAJAI;2025-01-13;71.446;35.5263;71.446;35.5263
JACUI;2025-01-13;306.78;56.5979;243.082;44.8462
JEQUITINHONHA;2025-01-13;2073.649;200.0438;1845.564;178.0406
MUCURI;2025-01-13;144.631;193.8312;82.151;110.0969
PARAGUACU;2025-01-13;62.038;42.4807;62.038;42.4807
PARAGUAI;2025-01-13;799.334;127.2836;765.985;121.9732
PARAIBA DO SUL;2025-01-13;1249.454;74.6186;1208.152;72.152
PARANA;2025-01-13;22543.813;100.7949;22541.97;100.7867
PARANAIBA;2025-01-13;10705.815;119.8566;10452.296;117.0184
PARANAPANEMA;2025-01-13;1039.417;43.6067;1037.382;43.5213
PARNAIBA;2025-01-13;320.282;132.6663;320.282;132.6663
SANTA MARIA VIT;2025-01-13;75.906;179.5997;25.189;59.5992
SAO FRANCISCO;2025-01-13;13891.162;103.6365;13836.288;103.2271
TIETE;2025-01-13;977.432;52.6321;951.68;51.2454
TOCANTINS;2025-01-13;14497.575;102.5874;14032.009;99.293
URUGUAI;2025-01-13;1206.923;47.9293;1100.916;43.7196
AMAZONAS;2025-01-14;18372.586;104.8116;16753.677;95.576
ARAGUARI;2025-01-14;326.61;124.2482;310.096;117.966
CAPIVARI;2025-01-14;113.041;71.1599;113.041;71.1599
DOCE;2025-01-14;2559.986;149.4265;1349.51;78.771
GRANDE;2025-01-14;6124.866;67.1923;6124.866;67.1923
IGUACU;2025-01-14;2535.14;66.7822;2535.14;66.7822
ITABAPOANA;2025-01-14;145.484;141.0982;60.969;59.131
ITAJAI;2025-01-14;63.984;31.8158;63.984;31.8158
JACUI;2025-01-14;266.738;49.2105;197.171;36.3761
JEQUITINHONHA;2025-01-14;2642.364;254.9075;2414.279;232.9042
MUCURI;2025-01-14;131.11;175.7106;71.776;96.1926
PARAGUACU;2025-01-14;175.151;119.9351;175.151;119.9351
PARAGUAI;2025-01-14;1383.257;220.2658;1342.992;213.8541
PARAIBA DO SUL;2025-01-14;1236.943;73.8714;1224.379;73.1211
PARANA;2025-01-14;22036.856;98.5283;22033.785;98.5145
PARANAIBA;2025-01-14;10431.999;116.7911;10211.815;114.3261
PARANAPANEMA;2025-01-14;1007.285;42.2587;1007.285;42.2587
PARNAIBA;2025-01-14;395.216;163.7053;395.216;163.7053
SANTA MARIA VIT;2025-01-14;60.268;142.5989;24.344;57.5998
SAO FRANCISCO;2025-01-14;15403.608;114.9202;15350.407;114.5233
TIETE;2025-01-14;928.677;50.0067;902.925;48.6201
TOCANTINS;2025-01-14;15442.424;109.2734;14777.067;104.5652
URUGUAI;2025-01-14;1125.985;44.7151;1047.698;41.6062
AMAZONAS;2025-01-15;18964.277;108.187;17498.04;99.8225
ARAGUARI;2025-01-15;255.733;97.2854;252.681;96.1243
CAPIVARI;2025-01-15;110.182;69.3601;110.182;69.3601
DOCE;2025-01-15;2790.922;162.9062;1474.25;86.052
GRANDE;2025-01-15;5850.957;64.1874;5850.957;64.1874
IGUACU;2025-01-15;2377.702;62.6349;2377.702;62.6349
ITABAPOANA;2025-01-15;127.499;123.6554;58.197;56.4426
ITAJAI;2025-01-15;58.021;28.8508;58.021;28.8508
JACUI;2025-01-15;196.829;36.313;150.384;27.7444
JEQUITINHONHA;2025-01-15;4890.135;471.7488;4534.78;437.4679
MUCURI;2025-01-15;116.591;156.2526;50.964;68.3008
PARAGUACU;2025-01-15;186.844;127.9419;186.844;127.9419
PARAGUAI;2025-01-15;1392.85;221.7934;1313.678;209.1863
PARAIBA DO SUL;2025-01-15;1205.845;72.0142;1196.004;71.4265
PARANA;2025-01-15;21542.517;96.318;21540.675;96.3098
PARANAIBA;2025-01-15;10535.765;117.9528;10259.223;114.8568
PARANAPANEMA;2025-01-15;971.129;40.7418;969.349;40.6671
PARNAIBA;2025-01-15;457.709;189.591;457.709;189.591
SANTA MARIA VIT;2025-01-15;54.119;128.0499;28.761;68.0508
SAO FRANCISCO;2025-01-15;17177.947;128.1579;17069.537;127.349
TIETE;2025-01-15;884.719;47.6397;858.967;46.253
TOCANTINS;2025-01-15;17475.532;123.66;15986.546;113.1237
URUGUAI;2025-01-15;1074.442;42.6682;997.702;39.6207
AMAZONAS;2025-01-16;19492.046;111.1978;17677.7;100.8474
ARAGUARI;2025-01-16;202.992;77.2218;202.992;77.2218
CAPIVARI;2025-01-16;104.082;65.5201;104.082;65.5201
DOCE;2025-01-16;2435.497;142.1601;1541.011;89.9489
GRANDE;2025-01-16;5708.533;62.6249;5708.533;62.6249
IGUACU;2025-01-16;2201.907;58.004;2201.907;58.004
ITABAPOANA;2025-01-16;121.516;117.8528;58.975;57.1971
ITAJAI;2025-01-16;52.358;26.0348;52.358;26.0348
JACUI;2025-01-16;222.586;41.0649;163.666;30.1948
JEQUITINHONHA;2025-01-16;4115.375;397.0081;3683.515;355.3468
MUCURI;2025-01-16;120.61;161.6388;58.129;77.9032
PARAGUACU;2025-01-16;312.351;213.8831;312.351;213.8831
PARAGUAI;2025-01-16;1171.716;186.5806;1017.609;162.0411
PARAIBA DO SUL;2025-01-16;1172.904;70.047;1156.361;69.059
PARANA;2025-01-16;20871.956;93.3199;20870.114;93.3117
PARANAIBA;2025-01-16;11069.256;123.9255;10814.638;121.075
PARANAPANEMA;2025-01-16;994.6;41.7265;988.076;41.4528
PARNAIBA;2025-01-16;447.28;185.2711;447.28;185.2711
SANTA MARIA VIT;2025-01-16;45.222;106.9989;28.317;67.0003
SAO FRANCISCO;2025-01-16;18274.85;136.3414;18176.478;135.6075
TIETE;2025-01-16;1547.971;83.354;1522.219;81.9674
TOCANTINS;2025-01-16;19989.272;141.4477;18544.266;131.2226
URUGUAI;2025-01-16;1022.966;40.624;946.166;37.5741
AMAZONAS;2025-01-17;20034.338;114.2915;17305.038;98.7214
ARAGUARI;2025-01-17;165.677;63.0265;165.677;63.0265
CAPIVARI;2025-01-17;181.984;114.5598;181.984;114.5598
DOCE;2025-01-17;2117.806;123.6164;1451.243;84.7091
GRANDE;2025-01-17;5595.737;61.3875;5595.737;61.3875
IGUACU;2025-01-17;2046.75;53.9167;2046.75;53.9167
ITABAPOANA;2025-01-17;128.243;124.377;57.25;55.5241
ITAJAI;2025-01-17;61.585;30.6229;61.585;30.6229
JACUI;2025-01-17;245.22;45.2407;189.05;34.8778
JEQUITINHONHA;2025-01-17;3492.068;336.878;3009.419;290.3171
MUCURI;2025-01-17;114.38;153.2895;68.98;92.4454
PARAGUACU;2025-01-17;288.321;197.4285;288.321;197.4285
PARAGUAI;2025-01-17;688.859;109.6919;597.076;95.0766
PARAIBA DO SUL;2025-01-17;1152.145;68.8072;1139.791;68.0694
PARANA;2025-01-17;20364.964;91.0531;20363.429;91.0463
PARANAIBA;2025-01-17;11619.482;130.0856;11251.751;125.9687
PARANAPANEMA;2025-01-17;1048.582;43.9912;1048.582;43.9912
PARNAIBA;2025-01-17;445.059;184.3511;394.353;163.3478
SANTA MARIA VIT;2025-01-17;38.439;90.9497;25.76;60.9502
SAO FRANCISCO;2025-01-17;18478.734;137.8625;18418.171;137.4107
TIETE;2025-01-17;1340.016;72.1562;1314.264;70.7696
TOCANTINS;2025-01-17;21327.855;150.9197;19690.278;139.3319
URUGUAI;2025-01-17;974.788;38.7108;916.899;36.4119
AMAZONAS;2025-01-18;20470.546;116.78;16874.102;96.263
ARAGUARI;2025-01-18;140.329;53.3836;140.329;53.3836
CAPIVARI;2025-01-18;208.354;131.1599;208.354;131.1599
DOCE;2025-01-18;1842.856;107.5676;1368.16;79.8596
GRANDE;2025-01-18;5452.572;59.8169;5452.572;59.8169
IGUACU;2025-01-18;1994.421;52.5383;1994.421;52.5383
ITABAPOANA;2025-01-18;129.122;125.2295;56.439;54.7376
ITAJAI;2025-01-18;96.091;47.7809;96.091;47.7809
JACUI;2025-01-18;226.166;41.7254;171.227;31.5897
JEQUITINHONHA;2025-01-18;3411.581;329.1134;2472.786;238.5484
MUCURI;2025-01-18;122.731;164.4813;72.387;97.0114
PARAGUACU;2025-01-18;125.915;86.2206;125.915;86.2206
PARAGUAI;2025-01-18;633.565;100.887;599.931;95.5313
PARAIBA DO SUL;2025-01-18;1135.446;67.8099;1124.557;67.1596
PARANA;2025-01-18;19824.499;88.6367;19822.964;88.6298
PARANAIBA;2025-01-18;11915.663;133.4015;11403.907;127.6721
PARANAPANEMA;2025-01-18;1239.325;51.9934;1239.325;51.9934
PARNAIBA;2025-01-18;476.11;197.213;330.426;136.8682
SANTA MARIA VIT;2025-01-18;33.706;79.7511;23.14;54.7511
SAO FRANCISCO;2025-01-18;18093.28;134.9868;18065.508;134.7796
TIETE;2025-01-18;1240.262;66.7847;1214.51;65.3981
